hotel name,rating,actions,rating,additional information,hotel name,address,additional information,additional informations,additional  information,additional informations,additional informations,check-in hours,additional information,guest ratings,rating,rating,address,description,City
"The Originals Boutique, Hotel Maison Montmartre, Paris - Priceline.com",1 / 72,See All 72 Photos,,,"The Originals Boutique, Hotel Maison Montmartre, Paris","32 Avenue De La Porte De Montmartre, Paris, France - Montmartre - Moulin Rouge - Sacre Coeur - 18th Arr.","Free face masks             All plates, cutlery, glasses and other tableware have been sanitized             Hand sanitizer in guest accommodation and key areas             Protective screen or physical barriers in appropriate areas             Linens, towels and laundry washed in accordance with local authority guidelines             Physical/social distancing guidelines             Contactless check-in/out             Shared stationery such as printed menus, magazines, pens, and paper removed             Staff follow all safety protocols as directed by local authorities             Daily disinfection             Professional cleaning services",Sun deck,,Snack bar,Bar,,"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. Please inform The Originals Boutique, Hôtel Maison Montmartre Paris Les Puces of your expected arrival time in advance. You can use the Special Requests box when booking, or contact the property directly using the contact details in your confirmation. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Food and beverage services at this property may be limited or unavailable due to the coronavirus (COVID-19). Due to the coronavirus (COVID-19), this property is taking steps to protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result. Due to the coronavirus (COVID-19), this property has reduced reception and service hours. A damage deposit of EUR 150 is required on arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full by credit card, subject to an inspection of the property. Please note that the credit card used for the reservation must be presented at check-in.",3844 Verified Guest Ratings,7.7,8.4,"32 Avenue De La Porte De Montmartre, Paris, France",,Montmartre - Moulin Rouge - Sacre Coeur - 18th Arr.
Palladium Palace - Priceline.com,1 / 57,See All 57 Photos,8.8,57 photos,Palladium Palace,"Via Gioberti 36, Rome, Italy - Coliseum - Termini Station",Food delivery             Snack bar             Bar             Wine/champagne             Happy hour             Coffee shop,CCTV security in common areas,,Ironing amenities,Fire extinguishers,,"When booking more than 6 rooms, different policies and additional supplements may apply. Fitness center and sauna are currently closed.",1461 Verified Guest Ratings,7.9,8.8,"Via Gioberti 36, Rome, Italy",Discover Rome,Coliseum - Termini Station
Hotel Magna Pars - Small Luxury Hotels of the World - Priceline.com,1 / 78,See All 78 Photos,9.5,78 photos,Hotel Magna Pars - Small Luxury Hotels of the World,"Via Forcella 6, Milan, Italy - Southwest Milan",Food delivery             Takeout dining services available             Bar              View images for   Restaurant(s)       (4)              Restaurant (special diets available),Ironing amenities,Safety deposit box,Pets allowed (charges may apply),Elevator,(1),"Please inform Magna Pars l'Hotel à Parfum of your expected arrival time in advance. You can use the Special Requests box when booking, or contact the property directly using the contact details in your confirmation. Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Due to the coronavirus (COVID-19), this property is taking steps to protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result. Due to coronavirus (COVID-19), this property adheres to strict physical distancing measures. Due to the coronavirus (COVID-19), make sure you're booking this property in accordance with the destination's local government guidelines, including (but not limited to) the purpose of travel and maximum group size. Due to the coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas. Please note that the restaurant is closed on Sundays.",1174 Verified Guest Ratings,9.0,8.2,"Via Forcella 6, Milan, Italy",Discover Milan,Southwest Milan
Hotel Da Vinci - Priceline.com,1 / 49,See All 49 Photos,,,Hotel Da Vinci,"Via Senigallia 6, Milan, Italy - Milan, Italy","All plates, cutlery, glasses and other tableware have been sanitized             Hand sanitizer in guest accommodation and key areas             Protective screen or physical barriers in appropriate areas             Linens, towels and laundry washed in accordance with local authority guidelines             Physical/social distancing guidelines             Shared stationery such as printed menus, magazines, pens, and paper removed             Staff follow all safety protocols as directed by local authorities             Daily disinfection",Food delivery,Snack bar,CCTV security in common areas,24-hour security,(27),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Due to coronavirus (COVID-19), this property adheres to strict physical distancing measures. Due to the coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas. When booking more than 5 rooms, different policies and conditions may apply. Please note that children whose travel documents are attached to the parent's passport, must be accompanied by said parent.",7014 Verified Guest Ratings,7.9,8.4,"Via Senigallia 6, Milan, Italy",Discover Milan,"Milan, Italy"
,,,,,,,,,,,,,,,,,,,
Hotel Elysa-Luxembourg - Priceline.com,1 / 40,See All 40 Photos,9.4,40 photos,Hotel Elysa-Luxembourg,"6 Rue Gay Lussac, Paris, France - Latin Quarter -  Sorbonne - 5th Arr.",Access to health care professionals             Process in place to check health of guests             First aid kit available,Food delivery,Coffee shop,CCTV security in common areas,24-hour security,(24),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. Please note that the credit card used to make the reservation may be requested upon arrival. Please note that when booking 4 rooms or more, special conditions apply: - For all reservations of 4 rooms and more, 40% of the total price will be charged after the reservation and guests can cancel free of charge until 2 weeks before arrival. - For all reservations of 5 rooms and more, 30% non refundable payment is required upon reservation. Total amount is due 3 days before arrival.",1981 Verified Guest Ratings,8.5,9.4,"6 Rue Gay Lussac, Paris, France",,Latin Quarter -  Sorbonne - 5th Arr.
Hotel Tourisme Avenue - Priceline.com,1 / 45,See All 45 Photos,9.6,45 photos,Hotel Tourisme Avenue,"66, Avenue De La Motte-Picquet, Paris, France - Eiffel Tower - Invalides - Grenelle - 7th Arr.",,Food delivery,Bar,CCTV security in common areas,24-hour security,(27),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Due to the coronavirus (COVID-19), this property is taking steps to protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result. Due to coronavirus (COVID-19), this property adheres to strict physical distancing measures. Due to the coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas. It's not possible to stay at this property for coronavirus (COVID-19) quarantine purposes. Please note that for all non refundable bookings, the credit card used to make the reservation will be requested on arrival. Please note that your credit card may be pre-authorized before arrival. Please note that when reserving 4 rooms or more, special conditions apply.",1704 Verified Guest Ratings,8.9,,"66, Avenue De La Motte-Picquet, Paris, France",,Eiffel Tower - Invalides - Grenelle - 7th Arr.
Hotel Du Collectionneur Arc De Triomphe - Priceline.com,1 / 61,See All 61 Photos,9.0,61 photos,Hotel Du Collectionneur Arc De Triomphe,"51-57, Rue De Courcelles, Paris, France - Champs-Elysees - Arc de Triomphe - 8th Arr.","Free face masks             All plates, cutlery, glasses and other tableware have been sanitized             Hand sanitizer in guest accommodation and key areas             Protective screen or physical barriers in appropriate areas             Linens, towels and laundry washed in accordance with local authority guidelines             Physical/social distancing guidelines             Contactless check-in/out             Staff follow all safety protocols as directed by local authorities             Daily disinfection             Professional cleaning services",Sun deck,Garden,Snack bar,Takeout dining services available,(5),"Please inform Hotel du Collectionneur of your expected arrival time in advance. You can use the Special Requests box when booking, or contact the property directly using the contact details in your confirmation. Please note that children under 16 years old may not have access to the SPA. Please note that the spa is open from 09:00 to 20:00 everyday. Guests under the age of 18 can only check in with a parent or official guardian. Please note that for reservations of 6 rooms or more, group policies may apply. A valid photo identification will be requested upon arrival. When booking prepaid rates, please note that the credit card used to make the reservation is required upon check-in with a valid ID. If this is not possible, guests are required to contact the property before arrival. Please note that Pets under 12 kilos accepted for an extra charge of 30€ per day. Conditions not applicable for assistance dogs. Please note that for guests on the breakfast included rate, breakfast is served in Le Collectionneur Restaurant & Bar.",2904 Verified Guest Ratings,8.1,8.6,"51-57, Rue De Courcelles, Paris, France",,Champs-Elysees - Arc de Triomphe - 8th Arr.
,,,,,,,,,,,,,,,,,,,
Hotel Estheréa - Priceline.com,1 / 42,See All 42 Photos,9.7,42 photos,Hotel Estheréa,"Singel 303 - 309, Amsterdam, Netherlands - Royal Palaca - Central Station - Dam Square",Process in place to check health of guests             First aid kit available,Food delivery,Bar,Parking available,Car rental available,(24),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. A damage deposit of EUR 100 is required on arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full by credit card, subject to an inspection of the property. Please note that extra beds are subject to availability and need to be confirmed by the hotel. Guests are kindly requested to inform the hotel when traveling with children. Please note that the car park only provides space for cars within the following measurements: max. size H 1950mm x W 2050mm x L 5100mm, max. weight 2000 kg. The costs are EUR 55 per day. Please note that an authorization is made on your credit card for the amount of the entire stay and for any incidentals upon arrival. This cost is EUR 70 for the first day and EUR 50 for any day following. The hotel will pre-authorize the credit card with the amount of the first night prior to arrival.",4405 Verified Guest Ratings,9.1,9.7,"Singel 303 - 309, Amsterdam, Netherlands",Discover Amsterdam,Royal Palaca - Central Station - Dam Square
