Book Title,Book Title,Author,Book Title,Price,Price,Seller,Category,Pages,Price,Book Description,Book Description,Author,Book Title,Book Description,Book Title,Pages,Price,Price,Price,Book Title,Book Title,Date of publication,Price,Price,Book Title
Delitto impunito - Georges Simenon,Delitto impunito,Georges Simenon,"Traduzione di Simona Mambrini    Biblioteca Adelphi  , 750   2023, 3ª ediz., pp. 184   isbn: 9788845937958","€ 18,00","€ 14,40",a.c. fine art inc.,Letteratura francese,2023 / pp. 186 /,"€ 10,99","«Lo ucciderò». Non pensa ad altro Élie, da quando, nella pensione della signora Lange che è ormai diventata il suo rifugio e la sua tana, è arrivato Michel. Ventidue anni, capelli scuri e lisci, gli occhi di un ne­ro profondo, la carnagione olivastra, Mi­chel è il rampollo di un’agiata famiglia ro­mena, ha la stanza migliore, viene nutrito e coccolato, e tutte le sere raggiunge nei bar di Liegi un gruppo di connazionali. Élie in­vece ha una zazzera rossiccia e crespa, lab­bra carnose e occhi sporgenti che lo fanno assomigliare a un rospo; sbarcato tre anni prima dalla natìa Vilnius per preparare un dottorato in matematica, occupa una stan­za che non può permettersi di riscaldare, mangia pochissimo, esce di rado, non ha amici. Per Michel, convinto com’è che tut­ti debbano amarlo, non è stato difficile se­durre la figlia della signora Lange, quella Louise nella cui schiva presenza Élie ha sem­pre trovato «un che di dolce, di rasserenan­te». E lui, Élie, se n’è accorto, perché una sera li ha visti baciarsi – e perché li guarda, o­gni pomeriggio, dal buco della serratura, i­norridito e affascinato al tempo stesso. Sì, deve fare giustizia Élie, deve eliminare quel­l’intruso che è venuto a sconvolgere il suo quieto universo. Quell’uomo «felice in tut­to e per tutto, sempre e comunque, in ogni momento della giornata». E lo farà – o al­meno crederà di averlo fatto. Ma, ventisei anni dopo, in un paesino minerario del­l’Arizona, se lo ritroverà davanti...",L’uomo che morì due volte.,Georges Simenon,L’America in automobile,"Come gli americani, diventati ormai «tutt’uno» con la loro auto, Simenon attraversa gli Stati Uniti – e ci offre della sua nuova patria un’immagine intima e ancora oggi affascinante.","Piccola Biblioteca Adelphi, 797",2023 / pp. 185 /,"€ 16,00","€ 15,20","€ 8,99",Le persiane verdi,"gli Adelphi, 663",2023 / pp. 208 /,"€ 12,00","€ 9,60",
Il libro Franza - Ingeborg Bachmann,Il libro Franza,Ingeborg Bachmann,"Traduzione di Magda Olivetti, Luigi Reitani   Testo critico tedesco stabilito da Monika Albrecht e Dirk Göttsche sotto la direzione scientifica di Robert Pichl   Edizione italiana a cura di Luigi Reitani    gli Adelphi  , 684   2024, pp. 377   isbn: 9788845938702","€ 14,00","€ 13,30",heinz bachmann,Letterature di lingua tedesca,2009 / pp. 377 /,"€ 24,00      € 19,20","«Questo è un libro che parla di un delitto ... tenta di far conoscere, di ricercare qualcosa che non è scomparso dal mondo. Oggi è soltanto infinitamente più difficile commettere delitti, ecco perché questi delitti sono tanto sublimi che quasi non riusciamo ad accorgercene e a comprenderli, benché vengano commessi ogni giorno nel nostro ambiente, tra i nostri vicini di casa».     Ingeborg Bachmann",«Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».,Ingeborg Bachmann,Invocazione all’Orsa Maggiore,"«Un Io lirico profondamente ambivalente, senza patria, sempre in viaggio di costa in costa, frontaliero...» (Siegfried Unseld).","Biblioteca Adelphi, 752",2023 / pp. 362 /,"€ 24,00","€ 22,80","€ 14,99",Malina,"gli Adelphi, 235",2003 / pp. 297 /,"€ 13,00","€ 10,40","Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».              Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).                  Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.              Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).                  Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
I lupi di Willoughby Chase - Joan Aiken,I lupi di Willoughby Chase,Joan Aiken,,,,1963 edward gorey. used by permission of the edward gorey charitable trust,,2023 / pp. 191 /,,"Tra gli innumerevoli mondi imma­ginari creati da Joan Aiken, c’è un’In­ghilterra dove la Gloriosa rivolu­zione non è mai avvenuta. Un’In­ghilterra infestata dai lupi, giunti oltremanica dalle gelide piane del­l’Europa e della Russia attraverso il tunnel sottomarino che unisce Do­ver a Calais e che è stato inaugura­to intorno al 1830, durante il regno di Giacomo III. Qui, nella sontuosa dimora di Willoughby Chase, una bambina di nome Bonnie Green – riccioli neri e carattere indomito – attende con impazienza l’arrivo del­l’angelica e delicata cugina Sylvia. Sir Willoughby e Lady Sophia sono in partenza per un lungo viaggio e le bambine verranno affidate alle cure di Miss Slighcarp, un’arcigna governante mossa da intenti non proprio limpidi. Osteggiate da te­mibili antagonisti, forti solo dell’af­fetto che le unisce e delle inaspettate risorse di coraggio e intraprendenza che sapranno trovare in sé, Bonnie e Sylvia dovranno affrontare un’incre­dibile serie di prove insidiose prima di sventare brillantemente un diabolico piano ordito ai danni della loro famiglia.","«I suoi romanzi sono un dono, per bambini e adulti [...], libri che attingono a piene mani all’innata follia della letteratura e alla misteriosa saggezza che essa può conferire» (Brian Phillips).",,,,,,,,,,,,,,
La strega - Shirley Jackson,La strega,Shirley Jackson,"Traduzione di Silvia Pareschi    Piccola Biblioteca Adelphi  , 795   2023, 2ª ediz., pp. 66   isbn: 9788845938313","€ 10,00","€ 9,50",,Letteratura nordamericana,2023 / pp. 66 /,"€ 5,99","Tre dei racconti qui riuniti hanno come protagoniste quelle creaturine infide, pericolose, enigmatiche che Shirley Jackson conosceva molto bene per aver cresciuto quattro «demoni», come chiamava – scherzosamente ma non troppo – i figli. Un bambino che, viaggiando in treno, vede streghe ovunque, e non è detto che non abbia ragione. Una ragazza che, sotto gli occhi di un presunto adulto un po’ alticcio, sfoggia un sapere e una saggezza apocalittici, mentre nella stanza accanto gli invitati a una festa sproloquiano sul futuro del mondo: «Non credo proprio che abbia molto futuro,» sentenzia con placido e inquietante distacco «almeno per com’è adesso ... Se quando lei era giovane la gente si fosse spaventata davvero, oggi non saremmo messi così male». E uno scolaretto che ne combina di tutti i colori, forse invisibile ma non per questo assente, come diceva sant’Agostino dei defunti, benché il marmocchio in questione sia vivo e vegeto. Tre  boîtes à surprise  con le quali Shirley Jackson suscita, a partire dal candore arcano dei ragazzi, sorrisi e brividi glaciali in egual misura. Senza rinunciare a condurci, al seguito di una donna che deve farsi estrarre un molare, nel suo territorio d’elezione: quella zona d’ombra ai confini della follia dove le cose note perdono i loro connotati familiari e appaiono estranee e perturbanti, dove un luciferino sconosciuto, materializzatosi dal nulla al nostro fianco, può prenderci per mano e, in un battito di ciglia, portarci a correre sulla sabbia calda, mentre le onde «tintinnano come campanelli sulla spiaggia» e «i flauti suonano tutta la notte».    Traduzione di Silvia Pareschi.",«Tutto ciò che fa terrore mi attrae» (Shirley Jackson).,Shirley Jackson,Un giorno come un altro,«I racconti di Shirley Jackson sono fra i più terrificanti mai scritti» (Donna Tartt).,"Fabula, 386",2022 / pp. 277 /,"€ 19,00","€ 15,20","€ 12,99",La luna di miele di Mrs. Smith,"Fabula, 364",2020 / pp. 279 /,,,
Miti emblemi spie. Morfologia e storia - Carlo Ginzburg,Miti emblemi spie,Carlo Ginzburg,"Il ramo d'oro  , 75   2023, pp. 332   isbn: 9788845938139","€ 35,00","€ 33,25",,Storia delle idee         Critica della cultura         Storia moderna         Arte,,,"Sono molti, e variegati, i temi affrontati in questa straordinaria raccolta di saggi: dalla stregoneria al divieto di conoscere ciò che sta in alto, inteso letteralmente e metaforicamente; dalle pitture erotiche di Tiziano all’«uomo dei lupi» di Freud, interpretato come un lupo mannaro mancato; da Aby Warburg e i suoi continuatori all’intreccio tra riflessioni sul mito e ideologia nazista negli scritti di Georges Dumézil. Che cosa lega ricerche così distanti tra loro? La prefazione alla prima edizione insisteva sulla morfologia, usata «come una sonda, per scandagliare uno strato inattingibile agli strumenti consueti della conoscenza storica». E alla morfologia si ritorna, in una prospettiva diversa, negli scritti inediti che ora si aggiungono, imperniati sulla nozione di «testo invisibile» (e perciò riproducibile) che era stata proposta in  Spie. Radici di un paradigma indiziario  . In questa nuova edizione Ginzburg rilegge il libro anche a partire da un tema fondamentale che, almeno in apparenza, in Spie mancava: il rapporto tra indizi e prove. È lecito supporre (come aveva fatto, in passato, lo stesso autore) che la ricchezza cognitiva degli indizi avesse indotto a trascurare l’importanza delle prove? Un dubbio da avvocato del diavolo, che ha portato a riesaminare da un’angolazione inattesa la sequenza che, partendo dalla triade Morelli-Freud-Sherlock Holmes, proietta il lettore da un lato verso i cacciatori del Neolitico, dall’altro verso il presente. E un invito a trasformarsi in cacciatori di indizi, per cercare di rispondere a questa e ad altre domande.","L’attesa, nuova edizione di una memorabile raccolta di saggi.",Carlo Ginzburg,Indagini su Piero,"La pittura di Piero della Francesca, in una luce inattesa.","Imago, 8",2022 / pp. 460 /,"€ 48,00","€ 38,40",,Il formaggio e i vermi,"L'oceano delle storie, 24",2019 / pp. 231 /,"€ 24,00","€ 19,20","Jan Assmann   Esodo   «Jan Assmann ha scritto un libro splendido. Con Esodo ci introduce a un’opera capitale della storia delle religioni, e ci mostra il suo significato per la storia universale» («Neue Zürcher Zeitung»).              Gwenn Rigal   Il tempo sacro delle caverne   Un luminoso spiraglio sulla vita e sulla mente dei primi artisti europei.              Francesco Calasso   Medioevo del diritto   «Una storia del diritto, che ha come sua epoca il medio evo, come teatro d’azione l’Italia».                  Carlo Ginzburg   La lettera uccide   Un libro che insegna a leggere lentamente, tra le righe.              Wendy Doniger   L’anello della verità   «Con il suo contagioso interesse per il sesso, Wendy Doniger passa con facilità dalle leggende sanscrite ai film con Doris Day» (Francis Ford Coppola). 
Dal  Ring  di Wagner a Marilyn Monroe e Doris Day, l’eterno legame tra gioielli e bellezza.              Marcel Granet   Danze e leggende dell’antica Cina   Il libro dove la Cina arcaica parla con i suoi passi di danza e ostentando i suoi emblemi.                  Éveline Lot-Falck   I riti di caccia dei popoli siberiani   «Il primitivo non ha coscienza di se stesso come entità distinta, non si vede separato da ciò che lo circonda; tutto, in natura, è per lui vivo e può apparire sotto qualsiasi aspetto».              Carlo Ginzburg   Storia notturna   L'immagine del sabba alla luce di miti e riti eurasiatici a sfondo sciamanico. Una rivoluzionaria interpretazione.              Ananda K. Coomaraswamy   La tenebra divina   Il pensiero metafisico di Coomaraswamy in una fondamentale raccolta di saggi."
"La ballata del piccolo rimorchiatore - Iosif Brodskij, Igor’ Olejnikov",La ballata del piccolo rimorchiatore,"Iosif Brodskij  ,  Igor’ Olejnikov","Illustrazioni di Igor’ Olejnikov   Traduzione di Serena Vitale    i cavoli a merenda  , 40   2023, pp. 32   isbn: 9788845938061","€ 18,00","€ 17,10",,Letteratura per l'infanzia         Letterature slave         Poesia,,,"Anteo è un piccolo rimorchiatore che vive a Pietroburgo, tra marinai, fumo di ciminiere e grandi navi da scortare. Nei pochi momenti di riposo sogna di salpare per il vasto oceano e visitare paesi meravigliosi, ma non vuole sottrarsi alla sua vita di lavoro, che accetta con gioia e coraggio – una vita che solo i delicatissimi versi di Iosif Brodskij potevano rendere tanto luminosa nella sua piccola eroicità quotidiana.",L’opera prima di Iosif Brodskij – un piccolo gioiello della letteratura per l’infanzia che parla al cuore di tutti.,Iosif Brodskij,Dolore e ragione,"«Una prosa dove a ogni passo, a ogni frase, il pensiero può trasportare il lettore molto lontano, come su un tappeto volante» (Roberto Calasso).","gli Adelphi, 664",2023 / pp. 267 /,"€ 13,00","€ 10,40","€ 20,00      € 16,00",Conversazioni,"La collana dei casi, 110",2015 / pp. 314 /,"€ 24,00","€ 19,20",
Metafisica concreta - Massimo Cacciari,Metafisica concreta,Massimo Cacciari,,"€ 38,00","€ 36,10",,Filosofia,,,"Metafisica: ecco la parola «davanti alla quale ognuno, più o meno, si affretta a fuggire come davanti a un appestato» (Hegel). Un fuggire che, a furia di decostruzioni, oltrepassamenti, dichiarazioni di morte o di inesorabile, fatale compimento nelle forme della razionalità scientifica, ha finito col diventare una sorta di habitus del pensiero contemporaneo. E tuttavia, ripercorrendo  contropelo  le filosofie classiche e i grandi sistemi del razionalismo moderno, così come le più ardite e recenti teorie della scienza, è possibile riscoprire ciò che di quel termine rimane  inaudito  : la  tessitura  che collega l’essente in quanto osservabile e determinabile allo  s-fondo  della sua provenienza e del suo imprevedibile avvenire; la relazione tra la  theoría  della cosa sotto l’aspetto della sua caducità, nell’ordine di Chronos, e quella che cerca di esprimerla nella sua relazione al Tutto e in tale relazione giunge a considerarla  res divina  . Nessun ‘al di là’, nessuna  Hinterwelt  , o mondo ‘dietro’  tà physiká  , dietro il manifestarsi di Physis. Questo mondo, e il soggetto che intende conoscerlo conoscendo sé stesso, il cui essere-possibile non si arrende al Muro dell’Impossibile, esigono di essere interrogati anche secondo una tale prospettiva.  Metafisica concreta  , dunque, come Florenskij, scienziato, filosofo e teologo, voleva intitolare l’opera che avrebbe dovuto concludere la sua ricerca. Filosofia e scienza possono in essa ritrovarsi ed esprimere insieme, in forme distinte e inseparabili, l’integrità e inesauribilità della vita dell’essente.",Come riscoprire ciò che della metafisica rimane inaudito.,Massimo Cacciari,Il lavoro dello spirito,L’attualità di Max Weber nella penetrante analisi di Massimo Cacciari.,"Piccola Biblioteca Adelphi, 751",2020 / pp. 118 /,"€ 13,00","€ 10,40","€ 6,99",Doppio ritratto,"Biblioteca minima, 48",2012 / pp. 88 /,"€ 7,00","€ 5,60","Martin Heidegger   L’inizio della filosofia occidentale   «L'inizio non sta più dietro di noi, alle no­stre spalle, bensì sta davanti a noi in quan­to compito essenziale della nostra più pro­pria essenza».              Emanuele Severino   Testimoniando il destino   I fondamenti della filosofia di Severino in una ulteriore, approfondita delucidazione.              Jacob Taubes, Carl Schmitt   Ai lati opposti delle barricate   «Sapevamo di essere nemici acerrimi, ma ci capivamo benissimo. Eravamo consapevoli di una cosa: di parlare allo stesso livello – e questo è molto raro» (Jacob Taubes).                  Martin Heidegger   Concetti fondamentali della filosofia aristotelica   Il preludio a  Essere e tempo  .              Emanuele Severino   Storia, Gioia   Il libro che svela il rapporto tra il pensiero filosofico di Severino più profondo, e ‘difficile’, e quello ‘più facile’, relativo all’attualità.              Carl Schmitt   Stato, grande spazio, nomos   Il pensiero di uno dei massimi filosofi della politica e del diritto in una imprescindibile raccolta di saggi.                  Emanuele Severino   Dike   Un cammino verso le radici del significato di  dike  : «il principio più stabile» secondo Aristotele.              Massimo Cacciari   Labirinto filosofico   2014, pp. 348, SALEPRICE              Martin Heidegger   Il «Sofista» di Platone   2013, pp. 667, SALEPRICE"
L’ora di greco - Han Kang,L’ora di greco,Han Kang,"Traduzione di Lia Iovenitti    Fabula  , 397   2023, 3ª ediz., pp. 163   isbn: 9788845938337","€ 18,00","€ 17,10",,Letteratura coreana,2023 / pp. 163 /,"€ 10,99","In una Seoul rovente e febbrile, una don­na vestita di nero cerca di recuperare la parola che ha perso in seguito a una serie di traumi. Le era già successo una prima volta, da adolescente, e allora era stato l’in­solito suono di una parola francese a scar­dinare il silenzio. Ora, di fronte al riaffio­rare di quel mutismo, si aggrappa alla ra­dicale estraneità del greco di Platone nel­la speranza di riappropriarsi della sua vo­ce. Nell’aula semideserta di un’accademia privata, il suo silenzio incontra lo sguardo velato dell’insegnante di greco, che sta per­dendo la vista e che, emigrato in Germa­nia da ragazzo e tornato a Seoul da qualche anno, sembra occupare uno spazio limina­le fra le due lingue. Tra di loro nasce un’in­timità intessuta di penombra e di perdi­ta, grazie alla quale la donna riuscirà for­se a ritornare in contatto con il mondo. Scritto dopo  La vegetariana  e definito dal­ la stessa autrice «quasi un suo lieto fine»,  L’ora di greco  si insinua − avvolto in un bozzolo di apparente semplicità − nella mente del lettore, come un «assurdo indimostra­bile», una voce limpida e familiare che ar­riva da un altro pianeta.",«Un romanzo eccelso che diventa più profondo a ogni lettura» («The Guardian»).,Han Kang,Atti umani,La pagina più cruenta del recente passato coreano in un romanzo implacabile.,"gli Adelphi, 666",2023 / pp. 205 /,"€ 12,00","€ 9,60","€ 19,00",Convalescenza,"Piccola Biblioteca Adelphi, 739",2019 / pp. 86 /,"€ 11,00","€ 8,80","Lawrence Osborne   Java Road   Cosa faresti se il tuo più vecchio amico
fosse un assassino, ma non ne avessi le
prove?              Benjamín Labatut   Maniac   L’odissea nera di John von Neumann, l’uomo che disegnò la mappa infernale del mondo che oggi abitiamo, nel nuovo straordinario libro di Benjamín Labatut.              Ian Fleming   Al servizio segreto di Sua Maestà   Uno dei più celebri, e rapinosi, capitoli delle avventure di James Bond.                  Michael Bible   L’ultima cosa bella sulla faccia della terra   «Un pugno nello stomaco» («New York Times Book Review»).              Pierre Boileau, Thomas Narcejac   I volti dell’ombra   Una lenta, inesorabile discesa nell’incubo.              Jean Stafford   Il puma   Una grande scrittrice che attende ancora di essere scoperta.                  Inès Cagnati   Giorno di vacanza   Il dolore delle origini in un romanzo di insolente intensità.              Peter Cameron   Che cosa fa la gente tutto il giorno?   I moti infinitesimali del nostro animo svelati dal Cameron più penetrante.              Christopher Isherwood   Il mondo di sera   Isherwood al massimo del suo estro narrativo."
Inferno. Leggende - Giacobbe lotta - August Strindberg,Inferno,August Strindberg,"A cura e con un saggio di Luciano Codignola    gli Adelphi  , 675   2023, pp. 459   isbn: 9788845938221","€ 15,00","€ 14,25",national library of sweden,Quaderni         Letterature scandinave,1972 / pp. 444 /,"€ 25,00","La vita di Strindberg fu una successione di cataclismi: il più brutale, il più irriducibilmente strindberghiano fu quello del 1895, quando, a Parigi, la ‘mano dell’invisibile’ lo precipitò in un’esperienza dissestante, introducendolo a terribili cieli e inferni, retti da quelle ‘potenze sconosciute’ che Strindberg riuscì poi, a sua volta, a introdurre in un romanzo-diario. Scritto di getto, come una stenografia visionaria,  Inferno  risponde tuttavia a un piano cifrato che difficilmente riesce a cogliere chi legga, anziché l’intera trilogia, solo la prima parte, l’unica che si usa pubblicare. Che cos’è l’  Inferno  di Strindberg? È, in primo luogo, quello che Swedenborg aveva descritto in tante sue opere e che ora Strindberg riconosce in ogni particolare per le vie del Quartier Latin, come una lugubre messa in scena finalmente svelata. Ma non è solo questo: attore principale in una portentosa macchinazione, Strindberg ci appare qui al tempo stesso come l’alchimista delirante che in squallide stanze d’albergo trasforma il piombo in oro; come l’uomo dello ‘scetticismo illuminato’, che ha superato ogni illusione; come il primo scrittore moderno che fa confluire fisiologia, psicologia e parapsicologia; come l’aruspice per cui ogni coincidenza è una ‘corrispondenza’.","«Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888).",August Strindberg,L’arringa di un pazzo,Il rapporto fra i sessi narrato e anatomizzato come un’atroce lotta per la sopraffazione.,"Biblioteca Adelphi, 657",2016 / pp. 284 /,"€ 19,00","€ 15,20","€ 10,99",Teatro da camera,"Piccola Biblioteca Adelphi, 98",1980 / pp. 280 /,"€ 18,00","€ 14,40","Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.                  Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).              Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva."
I viaggi la morte - Carlo Emilio Gadda,I viaggi la morte,Carlo Emilio Gadda,"A cura di Mariarosa Bricchi    Biblioteca Adelphi  , 751   2023, pp. 423   isbn: 9788845938078","€ 24,00","€ 22,80",tokyo fuji art museum / bridgeman images,Letteratura italiana         Critica e storia letteraria         Prose saggistiche,,,"Presentando nel 1958 gli scritti che compongono  I viaggi la morte  , Gadda suggeriva che, in luogo del comune «saggi», sarebbe forse stato preferibile per definirli il francese  entretiens  , ‘conversazioni’. Con questa discreta indicazione l’ormai celebre autore del  Pasticciaccio  rivendicava l’estraneità del libro alla «nostra coltura solidificata», e insieme ammantava di rassicurante affabilità la sua vera natura e la missione di cui era investito. Che era quella – come confidava a Livio Garzanti – di delineare il «panorama général» della sua «sindrome», abbracciando un’intera vita e tutta la gamma dei suoi interessi: di consegnare insomma ai nuovi fan una bussola per orientarsi nella più vertiginosa officina del Novecento e comprenderne le leggi. Leggi radicate in una riflessione filosofica che impone la demolizione del mito dello scrittore come vate o profeta, «bambolotto della credulità tolemaica», mentre l’io rappresentatore è un «groppo, o nodo, o groviglio, di rapporti fisici e metafisici» e solo dalla «tensione polare» con la cosa rappresentata nasce l’atto espressivo; e che nella maccheronea o «tumescenza barocca» individua un’arma letale, capace di annientare vaniloquio e falsità, enfasi e «teatrati atteggiamenti», nonché di contrastare l’«uso-Cesira», la lingua piccolo-borghese, «piccoletto grembiule casalingo da rigovernare le stoviglie». Se dunque Gadda, «bracconiere di frodo», fa razzia di varianti lessicali e ortoepiche, se ricorre al frasario gergale dei pratici e ai dialetti – da quello irresistibilmente sincopato e monosillabico dell’industre Milano alla parlata di Roma, «città mondo» – è nel nome di un’esigenza etica e gnoseologica: riscattare la lingua «dall’ossessione della frode» e ricreare la «magìa della verità».",«... riverisco i vati: non lavoro come i vati: lavoro come i non vati» (C.E. Gadda).,Carlo Emilio Gadda,Quer pasticciaccio brutto de via Merulana,"«… il più assoluto “giallo” che sia mai stato scritto, un “giallo” senza soluzione, un  pasticciaccio  »  (Leonardo Sciascia).","gli Adelphi, 660",2023 / pp. 370 /,"€ 14,00","€ 11,20","€ 22,00      € 17,60",La casa dei ricchi,"Microgrammi, 2",2020 / pp. 87 /,"€ 5,00","€ 4,00",
Kabloona. L’uomo bianco - Gontran de Poncins,Kabloona,Gontran de Poncins,"Disegni e fotografie dell’Autore   Con la collaborazione di Lewis Galantière   Traduzione di Marco Rossari    Biblioteca Adelphi  , 753   2023, pp. 332   isbn: 9788845938290","€ 24,00","€ 22,80",,Antropologia         Letteratura di viaggi         Reportage,2023 / pp. 332 /,"€ 19,49","Nel 1938 un visconte francese avventuroso e un po’ avventuriero, sempre alla ricerca di un senso da dare alla vita, decide di partire per l’estremo Nord, al di là del Canada, dove vivono le popolazioni più «primitive». Nel racconto di questa esperienza – una lenta e progressiva acclimatazione, in ogni senso, al nuovo mondo – tutto incanta fin dal primo istante: le durissime prove di resistenza, l’asprezza degli elementi, descritti con una vivacità e un’immediatezza fuori del comune, ma sopra ogni altra cosa l’incontro con gli  Inuit  , i più arcaici abitanti dell’Artico. Dapprima irrigidito nella sua supremazia di  Kabloona  , «uomo bianco» – si spingerà a dire che gli  Inuit  «non pensano», il che secondo i nostri angusti canoni potrebbe sembrare vero –, Gontran de Poncins finirà per imparare molto da queste genti, che non si pongono affatto il problema di dare un senso alla vita, come scopriremo in pagine profonde, spiazzanti, educative nel senso più alto della parola. E nell’ora sofferta del ritorno, si renderà conto, inaspettatamente, di essere diventato  uno di loro  . Il suo cuore rimarrà lì, come quello di noi lettori, illuminati da un’avventura che, superando ogni distanza, riesce a farci entrare nell’anima di un popolo e di un tempo che non potranno essere più.",L’avventura impossibile di un aristocratico francese nel mondo aspro e arcaico degli inuit,,,,,,,,,,,,,,
Un romanzo russo - Emmanuel Carrère,Un romanzo russo,Emmanuel Carrère,"Traduzione di Lorenza Di Lella e Maria Laura Vanorio    gli Adelphi  , 672   2023, pp. 283   isbn: 9788845938214","€ 13,00","€ 12,35",evgenia arbugaeva,Letteratura francese         Autobiografie         Storia contemporanea,2018 / pp. 283 /,"€ 19,00      € 15,20","«La follia e l’orrore hanno attanagliato la mia vita» scriveva Carrère presentando  Un romanzo russo  ai lettori francesi. Un giorno, però, dopo aver concluso la stesura dell’  Avversario  , alla follia e all’orrore decide di sfuggire. Trova un nuovo amore e accetta di realizzare un reportage su un prigioniero di guerra ungherese dimenticato per più di cinquant’anni in un ospedale psichiatrico russo. Arriva così in una cittadina a ottocento chilometri da Mosca, dove tornerà poi una seconda volta, ad aspettare, quasi in agguato, che accada qualcosa. Qualcosa accadrà: un delitto atroce. La follia e l’orrore l’hanno dunque «riagguantato». Anche nella vita amorosa: un racconto erotico scritto per gioco, per «fare irruzione nel reale», precipita lui e la sua compagna in un incubo destinato a devastare le loro vite. Nel frattempo, il viaggio in Russia ha messo fatalmente in gioco le sue origini e il suo rapporto con la lingua della madre – e Carrère comincia a indagare su quello che gli «è stato proibito raccontare»: «il fantasma che ossessiona la nostra famiglia». Per esorcizzare quel fantasma compirà «un oscuro percorso nell’inconscio di due generazioni», che lo porterà alla resa dei conti con un retaggio «di paura e di vergogna».","Il «romanzo familiare» di Carrère – quello in cui, intrecciando generi e fili narrativi diversi, l’autore fa i conti con un retaggio «di paura e di vergogna».",Emmanuel Carrère,V13,"Un viaggio al termine dell’orrore e della pietà raccontato con lucida empatia, senza un’ombra di enfasi o di lirismo, dall’autore dell’  Avversario  .","La collana dei casi, 147",2023 / pp. 267 /,"€ 20,00","€ 16,00","€ 10,99",La settimana bianca,"gli Adelphi, 618",2021 / pp. 139 /,"€ 12,00","€ 9,60","Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.                  Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).              Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva."
