news,news,news,other,datetime,other,other,other
"Tusk, 'una Ue forte rafforza la Polonia' - Ultima ora - Ansa.it","Tusk, 'una Ue forte rafforza la Polonia'","Tusk, 'una Ue forte rafforza la Polonia'",'Serve una piena mobilitazione per aiutare l'Ucraina',",
                          12 dicembre 2023, 11:28","Un'unione europea forte rende la
Polonia ""più forte"".",,"La precedente amministrazione di destra ha avuto
frequenti conflitti con Bruxelles. Tusk ha anche sollecitato la
""piena mobilitazione"" del mondo per aiutare l'Ucraina."
"Nessuna proroga del Superbonus, si studia Sal straordinaria - Ultima ora - Ansa.it","Nessuna proroga del Superbonus, si studia Sal straordinaria","Nessuna proroga del Superbonus, si studia Sal straordinaria","Più tempo per la documentazione, presentazione entro 10 gennaio",",
                          12 dicembre 2023, 12:20","Sul Superbonus è allo studio un
emendamento da parte dei relatori ""non in termini di proroga ma
di Sal (stato di avanzamento lavori) straordinaria"" al 31
dicembre.","Lo ha spiegato il relatore della manovra Guido Liris
(FdI).","L'emendamento che non è oneroso, ha spiegato, ""fissa la
possibilità di arrivare ai primi 10 giorni di gennaio 2024 con
tutta la documentazione per salvaguardare l'agevolazione sui
lavori fatti entro fine anno"". ""E' utile per il completamento
dei lavori"", ha aggiunto."
"Arriva emendamento a manovra sul Ponte, rimodulati i fondi - Ultima ora - Ansa.it","Arriva emendamento a manovra sul Ponte, rimodulati i fondi","Arriva emendamento a manovra sul Ponte, rimodulati i fondi",Meno oneri per lo Stato. Niente sul superbonus,",
                          12 dicembre 2023, 17:27","Arriva il quarto emendamento
annunciato dal governo sulla manovra.","La proposta di modifica
rimodula i fondi stanziati per il Ponte sullo Stretto prevedendo
una riduzione degli oneri a carico dello Stato di 2,3 miliardi
(su un totale di circa 11,6 miliardi al 2032).","Le risorse
risparmiate dallo Stato vengono recuperate dal Fondo di sviluppo
e coesione: 718 milioni arrivano dalla quota del fondo destinata
alle amministrazioni centrali e 1.600 dalla quota destinata alle
regioni Calabria e Sicilia."
"Salvini, 'firmata l'ordinanza per evitare 24 ore di sciopero' - Ultima ora - Ansa.it","Salvini, 'firmata l'ordinanza per evitare 24 ore di sciopero'","Salvini, 'firmata l'ordinanza per evitare 24 ore di sciopero'",'Avrebbe paralizzato l'Italia venerdì prossimo',",
                          12 dicembre 2023, 21:58","""Ho firmato per evitare lo sciopero
di 24 ore del sciopero del trasporto pubblico che avrebbe
paralizzato l'Italia venerdì prossimo"".",,"Quindi ho il
diritto, anzi il dovere garantire la mobilità e l'utilizzo dei
mezzi pubblici a 20 milioni di lavoratrici e lavoratori italiani
e sono orgoglioso di averlo fatto""."
"Suicidio moglie era femminicidio, lo incastra disegno figlia - Ultima ora - Ansa.it","Suicidio moglie era femminicidio, lo incastra disegno figlia","Suicidio moglie era femminicidio, lo incastra disegno figlia","Uomo arrestato, vessava continuamente la donna",",
                          12 dicembre 2023, 15:36","I carabinieri hanno arrestato un
uomo di 44 anni, Ahmed Mustak, accusato di avere ucciso la
moglie e di avere fatto passare la morte della donna, Sharmin
Sultana, di 32 anni, come un suicidio.","L'uomo, sostiene
l'accusa, è stato scoperto anche grazie a un disegno fatto dalla
figlia più grande.","Secondo quanto ricostruito dagli
investigatori, coordinati dal sostituto procuratore Marcello
Maresca, l'uomo vessava continuamente la donna. La morte era
avvenuta lo scorso marzo nel quartiere di Sestri Ponente a
Genova. In un primo momento si era pensato a un suicidio ma
anche i familiari della donna avevano espresso dubbi sul marito."
"Meloni,partita per Patto è ancora aperta perché l'Italia è seria - Ultima ora - Ansa.it","Meloni,partita per Patto è ancora aperta perché l'Italia è seria","Meloni,partita per Patto è ancora aperta perché l'Italia è seria",Bruxelles ce lo riconosce. La trattativa è difficilissima,",
                          12 dicembre 2023, 16:17",,,
"Borsa: Milano chiude in ribasso (-0,28%) - Ultima ora - Ansa.it","Borsa: Milano chiude in ribasso (-0,28%)","Borsa: Milano chiude in ribasso (-0,28%)",L'indice Ftse Mib a 30.342 punti,",
                          12 dicembre 2023, 17:42","Piazza Affari ha chiuso in ribasso.      
				L'indice Ftse Mib ha perso lo 0,28% a 30.342 punti.",,
"L'inflazione rallenta negli Usa, prezzi salgono del 3,1% - Ultima ora - Ansa.it","L'inflazione rallenta negli Usa, prezzi salgono del 3,1%","L'inflazione rallenta negli Usa, prezzi salgono del 3,1%","Il dato di novembre. Su base mensile +0,1%",",
                          12 dicembre 2023, 14:45","L'inflazione rallenta negli
Stati Uniti in novembre, per il secondo mese consecutivo.","I
prezzi al consumo su base annuale frenano al 3,1%, come si
attendevano gli analisti (3,2  in ottobre).","Su base mensile i
prezzi sono cresciuti dello 0,1% mentre  gli osservatori 
scommettevano su una percentuale invariata."
"Borsa: Milano debole, Banco Bpm sale con il piano, giù Mps - Ultima ora - Ansa.it","Borsa: Milano debole, Banco Bpm sale con il piano, giù Mps","Borsa: Milano debole, Banco Bpm sale con il piano, giù Mps","Ftse Mib -0,22%, in luce Amplifon e Azimut",",
                          12 dicembre 2023, 18:05","Seduta debole a Piazza Affari
(-0,28%) mentre gli altri listini europei hanno chiuso poco
sotto la parità con gli indici di Wall Street incerti alla
vigilia della decisione della Fed che dovrebbe, secondo le
attese, mantenere ancora per un po' di tempo i tassi invariati,
rinviando al prossimo anno un taglio.",,"L'istituto guidato da Alberto Castagna ha
reagito in modo positivo al nuovo piano ma ha ridotto il
guadagno finale all'1,23%. In cima al podio si sono piazzate
alla Amplifon (+2,47%) e Azimut (+1,33%)."
"Ucraina, missili nella notte su Kiev: almeno 45 feriti - Ultima ora - Ansa.it","Ucraina, missili nella notte su Kiev: almeno 45 feriti","Ucraina, missili nella notte su Kiev: almeno 45 feriti","Zelensky in Usa trova muro repubblicano, Biden: regalo a Putin",,E' arrivato ad almeno 45 feriti il bilancio dell'attacco missilistico russo che ha preso di mira il quartiere Dniprovskyi di Kiev nelle prime ore di oggi.,"Lo riportano i media locali, specificando che a causare i danni sono stati i detriti degli obiettivi abbattuti dalle difese aeree della capitale ucraina.",
